pixel_id module_id pixel_number_in_module cumulative_anode_current average_anode_current
1386 31 1 1.791391e+01 1.030303e-05
1141 31 2 9.885833e+00 5.702910e-06
1261 31 3 1.970547e+01 1.129488e-05
1387 31 4 1.057317e+01 6.156432e-06
1262 31 5 9.875158e+00 5.661739e-06
1388 31 6 1.766540e+01 1.027504e-05
1384 32 0 1.840988e+01 1.238040e-05
1258 32 1 1.814157e+01 1.119808e-05
1139 32 2 1.616401e+01 9.982679e-06
1259 32 3 1.025194e+01 6.301610e-06
1385 32 4 1.001848e+01 6.043213e-06
1140 32 5 1.697075e+01 1.018080e-05
1260 32 6 1.905549e+01 1.127655e-05
1256 33 0 1.963994e+01 1.205483e-05
1136 33 1 1.117925e+01 6.896832e-06
1023 33 2 1.751893e+01 9.312630e-06
1137 33 3 1.886785e+01 1.153919e-05
1257 33 4 2.070923e+01 1.214255e-05
1024 33 5 1.870443e+01 1.126952e-05
1138 33 6 1.019678e+01 6.317562e-06
1134 34 0 1.923308e+01 1.143519e-05
1020 34 1 1.759603e+01 1.041058e-05
913 34 2 1.047256e+01 6.397201e-06
1021 34 3 1.697611e+01 9.784712e-06
1135 34 4 1.781957e+01 1.145988e-05
914 34 5 1.035174e+01 6.368546e-06
1022 34 6 1.825342e+01 1.060970e-05
1018 35 0 1.964098e+01 1.186838e-05
910 35 1 1.715820e+01 1.019121e-05
809 35 2 1.913146e+01 1.099678e-05
911 35 3 5.577108e+00 3.217005e-06
1019 35 4 1.743414e+01 1.087660e-05
810 35 5 1.076110e+01 6.356770e-06
912 35 6 1.047834e+01 6.395279e-06
908 36 0 1.984738e+01 1.191761e-05
806 36 1 9.888684e+00 6.099776e-06
711 36 2 1.204981e+01 6.658649e-06
807 36 3 1.741400e+01 1.032222e-05
909 36 4 1.031728e+01 6.073910e-06
712 36 5 1.208843e+01 6.968091e-06
808 36 6 1.011550e+01 5.860581e-06
804 37 0 1.033480e+01 6.174543e-06
708 37 1 1.017224e+01 7.019758e-06
619 37 2 1.095002e+01 9.250703e-06
709 37 3 2.057181e+01 1.377747e-05
805 37 4 1.730450e+01 1.057149e-05
620 37 5 2.001608e+01 1.237349e-05
710 37 6 1.875201e+01 1.125438e-05
706 38 0 1.041660e+01 6.616172e-06
705 38 1 9.806586e+00 6.020495e-06
616 38 2 1.042133e+01 7.333255e-06
617 38 3 9.507587e+00 6.066654e-06
707 38 4 9.684026e+00 6.246247e-06
534 38 5 1.869507e+01 1.209502e-05
618 38 6 1.722978e+01 1.238963e-05
899 39 0 9.861580e+00 6.035629e-06
898 39 1 1.729277e+01 1.048041e-05
797 39 2 9.505667e+00 5.662024e-06
798 39 3 1.993953e+01 1.307487e-05
799 39 4 1.824432e+01 1.157411e-05
703 39 5 1.650293e+01 9.596786e-06
704 39 6 1.798501e+01 1.101382e-05
1116 40 0 1.712746e+01 9.862928e-06
1115 40 1 9.414816e+00 5.276351e-06
1002 40 2 1.021843e+01 5.759737e-06
1003 40 3 1.987941e+01 1.157285e-05
1004 40 4 1.947255e+01 1.146456e-05
896 40 5 1.039311e+01 6.240313e-06
897 40 6 1.991949e+01 1.234136e-05
1357 41 0 1.061630e+01 6.440427e-06
1356 41 1 1.034252e+01 6.254353e-06
1231 41 2 1.691032e+01 1.118230e-05
1232 41 3 1.096765e+01 6.803961e-06
1233 41 4 1.974655e+01 1.152979e-05
1113 41 5 9.755884e+00 6.463858e-06
1114 41 6 1.755050e+01 1.013498e-05
1603 42 0 1.937598e+01 1.156344e-05
1602 42 1 1.028275e+01 6.434956e-06
1484 42 2 1.032867e+01 6.486995e-06
1485 42 3 1.864757e+01 1.142648e-05
1486 42 4 1.954663e+01 1.209573e-05
1354 42 5 1.747743e+01 1.075679e-05
1355 42 6 1.755612e+01 1.087238e-05
1778 43 0 9.370636e+00 5.447978e-06
1777 43 1 1.045450e+01 6.067806e-06
1699 43 2 1.710097e+01 9.970525e-06
1700 43 3 1.050807e+01 6.048848e-06
1701 43 4 1.034556e+01 6.047154e-06
1600 43 5 1.076428e+01 6.389031e-06
1601 43 6 1.078928e+01 6.506988e-06
1389 44 0 9.778932e+00 5.672393e-06
1263 44 1 1.066230e+01 6.214300e-06
1264 44 2 1.006313e+01 5.987765e-06
1390 44 3 9.858750e+00 5.666721e-06
1519 44 4 9.765561e+00 5.743246e-06
1391 44 5 9.794581e+00 5.726334e-06
1520 44 6 1.006245e+01 5.707537e-06
1027 45 0 9.414548e+00 5.418673e-06
919 45 1 1.975657e+01 1.178659e-05
920 45 2 1.815898e+01 1.102429e-05
1028 45 3 1.706867e+01 1.006443e-05
1142 45 4 1.658434e+01 9.778966e-06
1029 45 5 9.790571e+00 6.082090e-06
1143 45 6 1.894556e+01 1.122692e-05
1025 46 0 1.997240e+01 1.267045e-05
917 46 1 1.687285e+01 1.004559e-05
816 46 2 1.951376e+01 1.207024e-05
918 46 3 1.768781e+01 1.064297e-05
1026 46 4 9.883601e+00 5.936778e-06
721 46 5 1.864964e+01 1.146366e-05
817 46 6 1.916017e+01 1.153209e-05
915 47 0 1.764991e+01 1.090392e-05
813 47 1 1.791775e+01 1.268431e-05
718 47 2 1.808929e+01 1.241144e-05
814 47 3 1.842959e+01 1.185666e-05
916 47 4 1.984241e+01 1.169836e-05
719 47 5 1.866472e+01 1.196741e-05
815 47 6 1.022483e+01 6.155384e-06
